LavatoryID,STR,PostalCode,Country,LON,LAT,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal
Wall_120014,Sterndamm 8-10 (0-24 Uhr),12487,Deutschland,13.50934272,52.45369117,1,1,"0,5",1,1,0,0,1,0
Wall_120015,S-Bhf. Köpenick. Stellingdamm ggü. 1 (0-24 Uhr),12555,Deutschland,13.5802191173496,52.4588468714187,1,1,"0,5",1,1,0,0,1,0
Wall_120016,Kiefholzstr. 258 (0-24 Uhr),12437,Deutschland,13.4868053644179,52.4658911727311,1,1,"0,5",1,1,0,0,1,0
Wall_120017,Plesser Str. 7 (0-24 Uhr),12435,Deutschland,13.4511497884872,52.4890646412465,1,1,"0,5",1,1,0,0,1,0
Wall_120018,Schivelbeiner Str. 1 (0-24 Uhr),10439,Deutschland,13.41343229,52.55067675,1,1,"0,5",1,1,0,0,1,0
Wall_120019,Bornholmer Str. 94 (0-24 Uhr),10439,Deutschland,13.41329416,52.55375525,1,1,"0,5",1,1,0,0,1,0
Wall_120020,Steglitzer Damm ggü. 3 (0-24 Uhr),12167,Deutschland,13.3362051601007,52.4510085070607,1,1,"0,5",1,1,0,0,1,0
Wall_120021,Leonorenstr. ggü. 67 (0-24 Uhr),12247,Deutschland,13.3431152369142,52.4389576397892,1,1,"0,5",1,1,0,0,1,0
Wall_120022,Platz der Luftbrücke. Tempelhofer Damm (0-24 Uhr),12101,Deutschland,13.3868324212871,52.4842403167076,1,1,"0,5",1,1,0,0,1,0
Wall_120023,Kurt-Schumacher-Platz. Scharnweberstr. ggü. 19 (0-24 Uhr),13405,Deutschland,13.3267155793166,52.5639195878818,1,1,"0,5",1,1,0,0,1,0
Wall_120024,Gudrunstr. 20 (0-24 Uhr),10365,Deutschland,13.50882,52.51505,1,1,"0,5",1,1,0,0,1,0
Wall_120185,Urbanstr. 21 (0-24 Uhr),10961,Deutschland,13.4085659005121,52.4927440515212,1,1,"0,5",1,1,0,0,1,0
Wall_120186,Planufer   (0-24 Uhr),10967,Deutschland,13.4198320333,52.4956702562474,1,1,"0,5",1,1,0,0,1,0
Wall_120188,Gneisenaustr. 39 (0-24 Uhr),10961,Deutschland,13.398054,52.490534,1,1,"0,5",1,1,0,0,1,1
Wall_120189,Görlitzer Park. Wiener Str. 59A (0-24 Uhr),10999,Deutschland,13.4391568914807,52.4950580656832,1,1,"0,5",1,1,0,0,1,0
Wall_120190,Platz der Vereinten Nationen. Landsberger Allee   (0-24 Uhr),10249,Deutschland,13.4329856332671,52.5235085677499,1,1,"0,5",1,1,0,0,1,0
Wall_120191,Erich-Steinfurth-Str.   (0-24 Uhr),10243,Deutschland,13.4345572862,52.5114773654,1,1,"0,5",1,1,0,0,1,1
Wall_120192,Warschauer Str. ggü. 33 (0-24 Uhr),10243,Deutschland,13.4506315673,52.5076197422,1,1,"0,5",1,1,0,0,1,1
